15/6/2019,Particular,PLACIDO MARTINEZ AL 900
15/6/2019,Particular,CATAMARCA 1019
16/6/2019,Particular,PLAYON DEL PUERTO
17/6/2019,Remisses,chacabuco al 1000
17/6/2019,Remisses,maipu 2499
17/6/2019,Remisses,SAN MARTIN Y CHACABUCO
17/6/2019,Remisses,CHACABUCO 1000
18/6/2019,Particular,BOLÍVAR 1998
18/6/2019,Particular,9 DE JULIO 1212
19/6/2019,Particular,MORENO 1178
19/6/2019,Remisses,RIVADAVIA 1200
20/6/2019,Particular,MEDRANO Y CAZADORES CORRENTINOS
20/6/2019,Particular,CATAMARCA 1091
20/6/2019,Particular,9 DE JULIO 1394
20/6/2019,Particular,san juan al 814
21/6/2019,Particular,QUINTANAS 1177
22/6/2019,Particular,SANTA FE 1517
22/6/2019,Particular,CATAMARCA 1093
22/6/2019,Particular,PELLEGRINI 1400
22/6/2019,Particular,SAN MARTIN 1400
23/6/2019,Particular,9 DE JULIO 1289
24/6/2019,Remisses,rivadavia al 1100
24/6/2019,Remisses,moreno al 1100
24/6/2019,Particular,MENDOZA 900
24/6/2019,Particular,CATAMARCA 1019
24/6/2019,Particular,9 DE JULIO 1200
24/6/2019,Particular,YRIGOYEN 1400
24/6/2019,Particular,SAN LORENZO 800
24/6/2019,Particular,Catamarca 996
24/6/2019,Particular,SAN LORENZO 800
24/6/2019,Particular,ESPAÑA 985
24/6/2019,Particular,SAN LORENZO 800
26/6/2019,Particular,BUENOS AIRES 1200
26/6/2019,Particular,SAN MARTÍN 900
26/6/2019,Particular,BELGRANO 1000
27/6/2019,Particular,rivadavia al 715
27/6/2019,Particular,PELLEGRINI 1140
27/6/2019,Particular,rivadavia 705
27/6/2019,Particular,SALTA 1300
28/6/2019,Particular,SAN JUAN 1000
29/6/2019,Particular,MENDOZA 700
29/6/2019,Remisses,SAN JUAN 800
29/6/2019,Particular,A. GONZALEZ 1000
28/6/2019,Particular,SAN MARTÍN 1121
1/7/2019,Particular,9 DE JULIO 868
2/7/2019,Particular,SAN MARTIN 1000
3/7/2019,Particular,SAN MARTÍN 787
3/7/2019,Particular,SANTA FE 800
3/7/2019,Particular,MORENO 1634
4/7/2019,Particular,SAN MARTÍN 1622
4/7/2019,Remisses,NECOCHEA 1000
6/7/2019,Particular,9 DE JULIO 1516
8/7/2019,Particular,9 DE JULIO 1516
9/7/2019,Particular,9 DE JULIO 1500
8/7/2019,Particular,CHACABUCO Y S. MARTIN
8/7/2019,Remisses,SAN JUAN 800
10/7/2019,Particular,san lorenzo al 620
10/7/2019,Particular,rivadavia al 1000
10/7/2019,Particular,catamarca al 700
10/7/2019,Particular,SAN MARTÍN 1000
10/7/2019,Particular,YRIGOYEN 900
10/7/2019,Particular,españa al 1177
10/7/2019,Particular,españa al 1183
11/7/2019,Particular,BUENOS AIRES 1200
11/7/2019,Particular,CATAMARCA 800
12/7/2019,Particular,MENDOZA 545
12/7/2019,Particular,BOLIVAR 800
13/7/2019,Particular,PLAYON PUERTO
13/7/2019,Particular,9 DE JULIO 1282
13/7/2019,Particular,JUNIN 600
13/7/2019,Particular,9 DE JULIO 1510
13/7/2019,Transportes de Cargas,CATAMARCA 1091
14/7/2019,Remisses,CHACABUCO Y SAN MARTIN
14/7/2019,Particular,9 de julio al 800
15/7/2019,Particular,PLACIDO MARTINEZ 1270
16/7/2019,Particular,Playon del Puerto
15/7/2019,Particular,santa f al 900
19/7/2019,Particular,SAN LORENZO 836
19/7/2019,Particular,RIVADAVIA 1400
20/7/2019,Particular,CATAMARCA 679
20/7/2019,Particular,PLAYÓN DEL PUERTO
20/7/2019,Particular,9 DE JULIO 1602
21/7/2019,Particular,PLAYON DEL PUERTO
21/7/2019,Particular,PLAYON DEL PUERTO
21/7/2019,Particular,PLAYON DEL PUERTO
23/7/2019,Particular,PELLEGRINI 400
24/7/2019,Particular,BUENOS AIRES 1500
24/7/2019,Particular,RIVADAVIA 717
26/7/2019,Particular,SANM MARTIN 1869
28/7/2019,Particular,MENDOZA 1011
26/7/2019,Particular,SANTA FE AL 900
28/7/2019,Remisses,TTE IBAÑEZ 2200
29/7/2019,Particular,9 de julio 930
30/7/2019,Particular,vera y san Juan al 1000
30/7/2019,Particular,san martin al 317
30/7/2019,Particular,BOLÍVAR 800
31/7/2019,Particular,BUENOS AIRES AL 1500
31/7/2019,Particular,SALTA 1261
2/8/2019,Particular,BS AS 500
2/8/2019,Remisses,SALTA AL 900
3/8/2019,Particular,CORDOBA 712
3/8/2019,Particular,9 DE JULIO 1310
3/8/2019,Particular,MENDOZA 1000
3/8/2019,Particular,CATAMARCA AL 700
4/8/2019,Particular,PLAYON DEL PUERTO
